"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,fieldtovar_datetimes,,text,"Record ID",,,,,,,,,,,,,
date_dmy,fieldtovar_datetimes,,text,"Date (D-M-Y)",,,date_dmy,,,,,,,,,,
date_mdy,fieldtovar_datetimes,,text,"Date (M-D-Y)",,,date_mdy,,,,,,,,,,
date_ymd,fieldtovar_datetimes,,text,"Date (Y-M-D)",,,date_ymd,,,,,,,,,,
datetime_dmy_hm,fieldtovar_datetimes,,text,"Datetime (D-M-Y H:M)",,,datetime_dmy,,,,,,,,,,
datetime_mdy_hm,fieldtovar_datetimes,,text,"Datetime (M-D-Y H:M)",,,datetime_mdy,,,,,,,,,,
datetime_ymd_hm,fieldtovar_datetimes,,text,"Datetime (Y-M-D H:M)",,,datetime_ymd,,,,,,,,,,
datetime_dmy_hms,fieldtovar_datetimes,,text,"Datetime w/ seconds (D-M-Y H:M:S)",,,datetime_seconds_dmy,,,,,,,,,,
datetime_mdy_hms,fieldtovar_datetimes,,text,"Datetime w/ seconds (M-D-Y H:M:S)",,,datetime_seconds_mdy,,,,,,,,,,
datetime_ymd_hms,fieldtovar_datetimes,,text,"Datetime w/ seconds (Y-M-D H:M:S)",,,datetime_seconds_ymd,,,,,,,,,,
time_hhmmss,fieldtovar_datetimes,,text,"Time (HH:MM:SS)",,,time_hh_mm_ss,,,,,,,,,,
time_hhmm,fieldtovar_datetimes,,text,"Time (HH:MM)",,,time,,,,,,,,,,
time_mmss,fieldtovar_datetimes,,text,"Time (MM:SS)",,,time_mm_ss,,,,,,,,,,
treatment,randomization,,dropdown,Treatment,"1, Control | 2, Treatment",,,,,,,,,,,,
row_purpose,branching_logic,Prerequisites,notes,"Intended result for this record",,,,,,,,,,,,,
prereq_radio,branching_logic,,radio,"Pre-requisite as a Radio Button","1, Radio1 | 2, Radio2 | ABC, RadioABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_checkbox,branching_logic,,checkbox,"Pre-requisite as a checkbox","1, Checkbox1 | 2, Checkbox2 | ABC, CheckboxABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_number,branching_logic,,text,"Pre-requisite as a number",,,number,,,,,,,,,,
prereq_date,branching_logic,,text,"Pre-requisite as a Date",,,date_ymd,,,,,,,,,,
prereq_yesno,branching_logic,,yesno,"Pre-requisite as a yes/no",,,,,,,,,,,,,
no_prereq_number,branching_logic,"Evaluation Fields",text,"Requires no pre-requisite",,,number,,,,,,,,,,
no_prereq_checkbox,branching_logic,,checkbox,"No pre-requisite checkbox","1, Pretzel | 2, Chocolate | 3, Fruit",,,,,,,,,,,,
one_prereq_non_checkbox,branching_logic,,dropdown,"Simple pre-requisite from a non checkbox field","1, Book | 2, Concert | 3, Movie",,,,,,"[prereq_radio] = '1'",,,,,,
one_prereq_checkbox,branching_logic,,text,"Simple pre-requisite from a checkbox field",,,date_ymd,,,,"[prereq_checkbox(ABC)] = '1'",,,,,,
two_prereq_and,branching_logic,,radio,"Composite AND pre-requisite","1, blue | 2, purple | 3, red",,,,,,"[prereq_yesno] = '0' and [prereq_radio] = 'ABC'",,,,,,
two_prereq_or,branching_logic,,truefalse,"Composite OR pre-requisite",,,,,,,"[prereq_yesno] = '1' or [prereq_date] > '2024-01-01'",,,,,,
two_prereq_and_one_check,branching_logic,,text,"Composite AND pre-requisite using one checkbox",,,,,,,"[prereq_checkbox(1)] = '1' or [prereq_number] = '5'",,,,,,
three_prereq_andor,branching_logic,,dropdown,"Compound pre-requisite (A AND B) OR C","1, Christopher Eccleston | 2, David Tenant | 3, Matt Smith | 4, Peter Capaldi | 5, Jodi Whitaker",,,,,,"([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'",,RH,,,,
one_prereq_inequality,branching_logic,,yesno,"One pre-requisite on inequality",,,,,,,"[prereq_number] < 0",,,,,,
